CORRELATION COEFFICIENT MATRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
BRITANNIA,0.009520719,0.07134886,0.143938349,0.173099748,0.065676164,0.130103982,0.164810738,0.122661973,0.21782777,0.147049803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,-0.009709913,0.009604964,0.277080254,0.130301826,0.08064322,0.149398879,0.127751759,0.068909176,0.133834459,0.092951062,0.044664833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,0.137930558,0.227080905,0.080796741,-0.057105991,0.191274155,0.177115342,0.138570641,0.259836215,0.1164324,0.041540814,0.022648457,0.007864638,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,0.091641373,-0.027428511,0.198405334,0.173011198,-0.064680198,0.171046525,0.067295705,0.025781248,0.066047208,-0.062060671,-0.095726896,0.27681247,-0.039035217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,-0.003546186,0.004659277,0.201169181,-0.029588093,-0.014851496,0.175135285,-0.002102757,-0.038817378,0.030386896,0.078735087,0.072217899,0.358891667,0.052997021,0.33200152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,0.199388352,0.233102475,0.158762355,0.244223184,0.256672735,0.414042869,0.272143895,0.282039558,0.172764908,0.259154667,0.210639508,0.177866975,0.212091798,0.089241501,0.12904306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,0.218471671,0.331078126,0.208012161,0.251927725,0.281264102,0.168691049,0.358324492,0.383414133,0.250062468,0.187925347,0.208310815,0.112470533,0.270900504,0.094544043,0.063593117,0.280928408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,0.110086136,0.150315916,0.229621007,0.097878393,0.200867727,0.173814031,0.248274129,0.20472469,0.104927681,0.228125996,0.106659469,0.171689997,0.134370645,0.17794373,0.159477251,0.069881521,0.231592895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,0.150024455,0.231296861,0.190183468,0.142374606,0.322049112,0.174663933,0.368228186,0.357624747,0.110527733,0.258381232,0.093779751,0.104623775,0.211609748,-0.040755182,0.064147919,0.212954124,0.315376253,0.284032949,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,0.355853308,0.373727564,0.199327733,0.152390348,0.268496577,0.173029521,0.307083996,0.3877521,0.233850013,0.170144377,0.069638634,0.035675722,0.135153597,0.11757331,0.018823415,0.191304263,0.301237479,0.204164476,0.283151684,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,0.199819472,0.321562044,0.173431846,0.170234105,0.198726896,0.347465532,0.220743802,0.277544867,0.291283617,0.242677972,0.241572496,0.120305075,0.219179047,0.091683643,0.087909798,0.406727697,0.234486914,0.184854585,0.198855438,0.255989141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,0.141630171,0.179686071,0.263371858,-0.020554513,0.255128651,0.189909718,0.249266768,0.309118348,0.169495056,0.188241509,0.071425825,0.141568541,0.318630558,0.142065503,0.06373802,0.200528067,0.427536983,0.311507955,0.313258162,0.26501404,0.255234252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,-0.003228006,0.083029325,0.167120344,0.285328185,0.240269292,0.166586541,0.180100779,0.13693337,0.187345131,0.126612274,0.455679119,0.150913566,-0.001681984,0.122100811,0.04609916,0.301619198,0.186133867,0.191142593,0.150444338,0.16783315,0.233840698,0.05029747,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC,0.181516952,0.253202291,0.225233622,0.189562292,0.330317773,0.228893815,0.397654551,0.371862196,0.121656519,0.256674779,0.138801276,0.148545071,0.187139184,-0.006326396,0.077413717,0.234420626,0.353264013,0.297833926,0.937319615,0.321820878,0.220374974,0.324515386,0.205476303,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,0.146072801,0.242264579,0.122365688,0.205038441,0.554118931,0.093082435,0.346253496,0.34907132,0.183306264,0.310590921,0.130044169,0.034982768,0.206403352,-0.041238718,0.054294399,0.34008414,0.333491262,0.217224638,0.465407602,0.231500521,0.251827365,0.33048694,0.185702793,0.423032537,1,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,-0.038728536,0.118583426,0.10323774,0.022353423,0.175022587,0.188295104,0.190054697,0.187800815,0.141445604,0.145598824,0.281221605,0.156995701,0.218749626,0.027521196,0.148193055,0.223583023,0.213514326,0.101774255,0.189643899,0.056623501,0.199299828,0.225231794,0.336657293,0.214082506,0.226821981,1,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,0.169794073,0.292865511,0.191081378,0.227744231,0.386187945,0.208985232,0.407835304,0.49727727,0.097298843,0.259274812,0.096046563,0.107881903,0.226998279,-0.005325684,-0.049376139,0.313219095,0.239832747,0.219510454,0.389783202,0.254661301,0.179266778,0.316714451,0.121349274,0.386656091,0.426972673,0.203127242,1,,,,,,,,,,,,,,,,,,,,,,,
INFY,0.09002081,0.158680886,0.197028611,0.175401251,0.232391223,0.178666008,0.324181276,0.254543494,0.165551027,0.204509587,0.076522509,0.221309872,0.06015286,0.230180212,0.165606678,0.096767058,0.263315001,0.705560055,0.365631189,0.227144849,0.145920745,0.329663309,0.204221578,0.363830643,0.314859646,0.151873832,0.195693199,1,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,0.188084628,0.226639323,0.211085531,0.042085271,0.229929205,0.200880296,0.242619483,0.275239058,0.183035228,0.104046154,0.018839932,0.248242409,0.292888361,0.119271578,0.157438033,0.186189657,0.394242563,0.267783616,0.287476117,0.169423459,0.213001025,0.670482466,0.040299944,0.302822101,0.332996144,0.252251008,0.233689995,0.299229641,1,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,0.140113335,0.218040707,0.125656605,0.217846833,0.343736579,0.187189042,0.363989843,0.349392951,0.060941901,0.264370454,0.093587502,0.037909778,0.168270164,0.040680736,0.029058798,0.267989255,0.325987845,0.20777529,0.374242635,0.18130685,0.191152587,0.243575924,0.238403616,0.359193496,0.488800745,0.190895865,0.302821508,0.195797109,0.280250185,1,,,,,,,,,,,,,,,,,,,,
LT,0.108626258,0.237331127,0.163868449,0.117355285,0.250417633,0.230711535,0.166086036,0.17954097,0.140211063,0.275647025,0.103126659,0.083613774,0.2382124,0.103190294,0.221862315,0.184570726,0.383112999,0.245629968,0.402593543,0.144861317,0.220560423,0.384165024,0.080004754,0.403957802,0.30605075,0.248522717,0.197188592,0.379715804,0.388164737,0.190533038,1,,,,,,,,,,,,,,,,,,,
M&M,0.233879934,0.311193084,0.258264224,0.155425371,0.322767478,0.351112765,0.304843454,0.370861994,0.198613109,0.225140795,0.167193235,0.204852545,0.216144817,0.039104452,0.203802368,0.518102988,0.349240936,0.123001336,0.297486607,0.232615908,0.317946838,0.288329911,0.238619893,0.341095229,0.262212479,0.326962498,0.277299146,0.151151312,0.313964508,0.305192922,0.225462798,1,,,,,,,,,,,,,,,,,,
MARUTI,0.190297624,0.269044408,0.222786786,0.151600481,0.222863129,0.336928301,0.311766466,0.296983,0.123921449,0.208961761,0.221829252,0.120295959,0.196247407,0.015227013,0.007132735,0.528515801,0.244632635,0.100571792,0.157702333,0.202654261,0.285730376,0.224384994,0.268149296,0.190870931,0.230277442,0.262497414,0.304621797,0.088052595,0.206725507,0.278868207,0.149479007,0.498066667,1,,,,,,,,,,,,,,,,,
NTPC,0.167947887,0.215801594,0.120889759,0.077543897,0.109159943,0.251930777,0.171284189,0.211926034,0.111098438,0.138886267,-0.039133366,0.054067379,0.356790081,0.051128315,0.145357603,0.160489912,0.311052668,0.170106952,0.196805666,0.168306301,0.164287831,0.268051405,0.037776189,0.226355382,0.197535877,0.153932722,0.223816414,0.136906194,0.3048012,0.152353991,0.218654431,0.268171392,0.271759857,1,,,,,,,,,,,,,,,,
NESTLEIND,0.052866903,0.083935423,0.263124543,0.249183462,0.131294131,0.236147635,0.253622327,0.209598832,0.22782955,0.140087827,0.396803973,0.224391301,0.119664901,0.182424252,0.16706782,0.227388028,0.249236431,0.154799619,0.158440653,0.241151911,0.238462992,0.129084867,0.469946613,0.203533426,0.196316834,0.252107324,0.110937557,0.156737643,0.10337186,0.218932044,0.117706107,0.241267298,0.17671169,0.042711052,1,,,,,,,,,,,,,,,
ONGC,0.056228725,0.135007482,0.071435623,-0.126676163,0.135737573,0.194513569,0.029447483,0.076440831,0.072110592,0.057922712,-0.150674649,0.087114594,0.271189355,-0.013919843,0.113353153,0.097909142,0.087944329,0.151380251,0.114856461,0.090701994,0.083854616,0.319136156,-0.10085148,0.121901466,0.19035764,-0.039585921,0.111030748,0.119183015,0.26569809,0.084737305,0.068252143,0.131517878,0.147134232,0.334023197,0.027982292,1,,,,,,,,,,,,,,
POWERGRID,0.07096394,0.174308431,0.140571639,0.08414769,0.131009812,0.16691356,0.078004315,0.1427004,0.168207366,0.171608402,0.038507631,-0.024086573,0.134584978,-0.039614314,0.059554448,0.134392009,0.255711493,0.04148742,0.166249538,0.090019172,0.059389342,0.177537471,0.08474679,0.190311207,0.246145539,0.040097755,0.159948622,0.003078419,0.166425627,0.20782781,0.253721212,0.209510253,0.096613608,0.44173036,0.187871886,0.272066511,1,,,,,,,,,,,,,
RELIANCE,0.22330518,0.266055604,0.184826505,0.027158218,0.312316441,0.279657117,0.324089476,0.365971845,0.137076707,0.265558539,0.096961339,0.089654086,0.278571565,0.050833447,0.119600599,0.254672282,0.275725234,0.236740173,0.373638552,0.25821905,0.243781171,0.34478684,0.086121355,0.3708834,0.422897324,0.212759872,0.278811693,0.250888227,0.252161509,0.266819541,0.216048932,0.333842144,0.311485721,0.313171811,0.242011739,0.457892392,0.224193504,1,,,,,,,,,,,,
SBILIFE,0.294247164,0.399835774,0.222121038,0.151732715,0.311441805,0.196979886,0.376403594,0.411110016,0.204387361,0.297822583,0.195189698,0.126001151,0.249718013,0.021053003,0.053083517,0.214735284,0.341865654,0.183308593,0.27444069,0.607825862,0.263291057,0.319543214,0.232833413,0.298100274,0.305471923,0.130311294,0.319260865,0.258071526,0.228704657,0.291575387,0.251883155,0.389008724,0.271769865,0.214640251,0.313371506,0.135435057,0.182413478,0.381880261,1,,,,,,,,,,,
SBIN,0.381649588,0.544789423,0.147521613,0.176929308,0.484557129,0.106874384,0.390127931,0.444503816,0.268297047,0.242807589,0.168766042,0.008365697,0.283810771,-0.091373434,0.045566235,0.347868924,0.364994859,0.207573783,0.386313675,0.302262564,0.351855943,0.311136593,0.166602153,0.338488848,0.568078238,0.297210779,0.51981114,0.230074574,0.322756855,0.377477216,0.245904168,0.341142741,0.288762647,0.248215339,0.185874514,0.161658574,0.216871761,0.35175374,0.390257507,1,,,,,,,,,,
SUNPHARMA,0.072675444,0.109830154,0.224486849,0.152605512,0.006802626,0.155136892,0.235069847,0.162027459,0.153049014,0.080153652,0.076329109,0.276196562,0.140512078,0.23044137,0.195571076,0.130131268,0.253738337,0.191562087,0.167720562,0.253509612,0.148015805,0.306726173,0.203396684,0.209568892,0.05594362,0.096678208,0.096591517,0.210827722,0.205278684,0.125453048,0.14409528,0.149882309,0.119790036,0.066508799,0.188596803,0.069908063,0.035418588,0.069344602,0.355033639,0.088301858,1,,,,,,,,,
TCS,0.139009151,0.177000002,0.222910648,0.202073938,0.206434865,0.193752922,0.353225181,0.255801828,0.20341674,0.180546936,0.139636569,0.199744312,0.098407584,0.195680152,0.125799977,0.102949635,0.277188687,0.674142466,0.34657818,0.199357528,0.190679119,0.297312611,0.193986957,0.387048711,0.21220394,0.135607989,0.212080255,0.72932335,0.293717378,0.183371349,0.33105212,0.159340288,0.134828081,0.109726254,0.22204005,0.130506823,0.050412845,0.263223442,0.235716659,0.27299473,0.244698227,1,,,,,,,,
TATACONSUM,0.118522497,0.150509028,0.215335547,0.318555404,0.135103363,0.257428701,0.254927429,0.296642206,0.286123285,0.18697642,0.359530394,0.135744656,0.17453864,0.162964447,0.091186542,0.325442499,0.363489732,0.227005486,0.226078644,0.281135316,0.355490047,0.256917263,0.316956481,0.245492453,0.280866547,0.260539294,0.225133857,0.273433233,0.198618986,0.173568573,0.317085851,0.290176115,0.218741511,0.17265992,0.452168789,-0.000510012,0.231821084,0.246371289,0.211294269,0.242808921,0.082120887,0.235960905,1,,,,,,,
TATAMOTORS,0.171246931,0.213323531,0.326825694,0.112992892,0.228490603,0.409718135,0.246551922,0.327801219,0.223455658,0.186606592,0.130279604,0.155149469,0.19478322,0.071660481,0.081457187,0.306160913,0.326375658,0.283218791,0.255537351,0.247875133,0.318129677,0.439361176,0.141227831,0.279144957,0.213494165,0.24578232,0.289858323,0.275430618,0.344069949,0.247273672,0.298920438,0.493088491,0.399987897,0.26268625,0.17096964,0.219094266,0.246311144,0.321920283,0.314152197,0.25206591,0.19284899,0.295058167,0.308045762,1,,,,,,
TATASTEEL,0.110696822,0.170735349,0.231588719,0.05553314,0.266507127,0.229164906,0.266488338,0.303448377,0.171106554,0.156458346,0.086091924,0.161135607,0.366049993,0.097693229,0.053624787,0.248836367,0.363736714,0.272276469,0.315185199,0.223973503,0.272369626,0.764835011,0.03117212,0.32866229,0.370561518,0.216555594,0.320134258,0.299516341,0.707401156,0.202329466,0.331519225,0.259254137,0.201403935,0.304279921,0.085401957,0.375398711,0.132003219,0.345239206,0.324405755,0.315855515,0.271715895,0.252292418,0.199098698,0.392347722,1,,,,,
TECHM,0.096404354,0.158960228,0.319145073,0.11199937,0.172754566,0.161089671,0.284739442,0.243200091,0.171937837,0.160985069,-0.013227166,0.157083293,0.083407979,0.212051073,0.107058547,0.159251882,0.257090444,0.552447789,0.283880571,0.22154948,0.198626571,0.300399391,0.082806173,0.284880927,0.222969188,0.02564251,0.031528137,0.62481688,0.255978966,0.185388692,0.288880837,0.123829745,0.082679543,0.112705475,0.113741367,0.186932635,0.062530555,0.217413492,0.208166294,0.169961598,0.200867653,0.620431036,0.209264049,0.254725759,0.276410787,1,,,,
TITAN,0.166807975,0.294735018,0.261882601,0.358096993,0.294023303,0.315385289,0.365423717,0.387180011,0.139055746,0.182683491,0.136620278,0.124411562,0.143704468,-0.014265464,0.102127128,0.29851806,0.353302531,0.073820875,0.299283104,0.216435984,0.286838611,0.226085122,0.215803626,0.322202582,0.348784228,0.161554688,0.245511269,0.149499744,0.246959772,0.340786086,0.317843926,0.347047466,0.330663401,0.186860318,0.253475362,0.078258417,0.20498933,0.23870153,0.349526652,0.338447303,0.230498236,0.116401908,0.269574337,0.285039634,0.240110511,0.129456482,1,,,
UPL,0.274911287,0.303185649,0.186355422,0.059463771,0.247370606,0.35452937,0.342377166,0.349886111,0.239245415,0.244131303,0.124572262,0.208606103,0.335056579,0.045943323,0.146755451,0.325604067,0.360506815,0.293275267,0.3944065,0.30388537,0.372058254,0.47014733,0.134958566,0.41388277,0.319764828,0.245967473,0.233126058,0.30225785,0.354970823,0.220585803,0.34306955,0.35940723,0.256602305,0.248364205,0.252858614,0.243974488,0.164711681,0.365354976,0.326811541,0.328887856,0.199821814,0.270594894,0.293621846,0.362472146,0.4901491,0.282845159,0.347030663,1,,
ULTRACEMCO,0.168684425,0.275539553,0.146297927,0.263135562,0.290387657,0.186805447,0.288901694,0.29423329,0.214012392,0.123860879,0.193725319,0.058764119,0.099016116,0.060411038,0.051640351,0.192779396,0.592353021,0.205666669,0.235958435,0.261067029,0.275136143,0.245738699,0.151988192,0.277826447,0.334942876,0.173462315,0.172532899,0.238071766,0.266938903,0.27875787,0.301597918,0.341179103,0.230647769,0.161963668,0.209190286,0.025824417,0.179632388,0.250962432,0.278620409,0.300157496,0.149093719,0.248021633,0.264900716,0.329462592,0.238042819,0.186120912,0.283401941,0.255965938,1,
WIPRO,0.125138115,0.239010663,0.23348709,0.229724304,0.276379665,0.208847513,0.351551799,0.305487269,0.223112843,0.168427427,0.083587314,0.131785559,0.185386683,0.184163022,0.080321868,0.107094749,0.295173453,0.578565922,0.338071698,0.2856813,0.280102527,0.357185588,0.119493266,0.343474227,0.346906547,0.162943486,0.263438128,0.654061559,0.344312534,0.232145261,0.336521557,0.183879374,0.126623958,0.194167213,0.200209682,0.222263048,0.140663834,0.274421198,0.272605273,0.372393471,0.157838669,0.692619698,0.277165292,0.346029503,0.375881578,0.593608598,0.15943656,0.361069374,0.282708904,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Pairs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock1,Stock2,Correlation,Sector,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,HDFC,0.937319615,Banking/Finance,"Subsidiary and Parent, Merger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,BAJAJFINSV,0.804188248,Finance,Subsidiary and Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,TATASTEEL,0.764835011,Metals,"Same Sector, Leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,ADANIPORTS,0.749222603,Services,Sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,TCS,0.72932335,Technology,"Same Sector, Leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,TATASTEEL,0.707401156,Metals,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,INFY,0.705560055,Technology,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,WIPRO,0.692619698,Technology,"Same Sector, Leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,TCS,0.674142466,Technology,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,JSWSTEEL,0.670482466,Metals,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,WIPRO,0.654061559,Technology,"Same Sector, Leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,TECHM,0.62481688,Technology,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,TECHM,0.620431036,Technology,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,SBILIFE,0.607825862,Insurance,Same Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stocks Chosen : - HINDALCO and TATASTEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
